Territory	Language	Language (English)	Vernacular Title	English Title	Home
Albania	Armãneashti/Arumanisht	Armãneashti/Arumanisht	Biblija tu limba Rrãmãnã	Aromanian Bible	rup
Algeria	Arabic, Algerian Spoken	Arabic, Algerian Spoken	العهد الجديد باللهجة الجزائرية	Arabic, Algerian Spoken: Arabe Algerian NT	arq
Algeria	Tamahaq, Tahaggart	Tamahaq, Tahaggart	Awal n Messineɣ s Tamahaq	Tahaggart Tamahaq Bible	thv
Angola	Nkangala	Nkangala	Nkangala Bible Translation	Nkangala NT	nkn
Australia	Adnyamathanha	Adnyamathanha	Adnyamathanha Christmas Story	Adnyamathanha Christmas Story	adt
Australia	Alawa	Alawa	Alawa Song Buk	Alawa Song Book	alh
Australia	Alyawarr	Alyawarr	Alyawarr Bible	Alyawarr Bible	aly
Australia	Anindilyakwa	Anindilyakwa	Anindilyakwa Bible	Anindilyakwa Bible	aoi
Australia	Anmayerr	Anmatyerre	Anmatyerr Bible	Anmatyerr Bible	amx
Australia	Western Arrarnta	Arrarnta, Western	Altjirraka angkatja  - Arrarnturna kngartiwukala	Western Arrarnta NT	are
Australia	Eastern Arrente	Arrernte, Eastern	Angkentye Mwerre	Eastern Arrente Bible	aer
Australia	Awabakalkoba	Awabakal	EUANGELION UNNI TA JESU-ÚBA CHRIST-KO-BA UPATOARA LUKA-UMBA	Awabakal Luke	awk
Australia	Burarra	Burarra	Nyanyapa Arrku Gun-nika Gun-molamola Janguny: Minypa Jesus Christ Guna-ganyja Arrburrwa Gun-geka Rum	Burarra Scriptures	bvr
Australia	Marraŋu	Dhuwal	Marraŋu Selections	Dhuwal Selections	dwu
Australia	Ḻiyagawumirr	Dhuwal	Luke	Liyagawumirr Luke	dwuliv
Australia	Dhuwaya	Dhuwaya	Djesuwalaŋuwuy latjuꞌ dhäwuꞌ Markkuŋu wukirriwuy	Dhuwaya Mark + Acts 1:8-11	dwy
Australia	Dieri	Dieri	TESTAMENTA MARRA	Dieri NT	dif
Australia	Djambarrpuyŋu	Djambarrpuyngu	God-Waŋarrwu Walŋamirr Dhäruk	Djambarrpuyngu NT	djr
Australia	Dhuwa-Dhaŋu'mi	Djangu	Dhuwa Dhaŋu'mi Mäk+	Dhuwa-Dhaŋu'mi Mark + Selections	dhgduwadha
Australia	Wangurri	Djangu	Djangu Selections	Djangu Bible Portions	dhg
Australia	Warramiri Ḏolttji	Djangu	Warramiri Ḏolttji Selections	Warramiri Ḏolttji Selections	dhgdol
Australia	Ndjébbana	Djeebbana	Ndjébbana Bible Portions	Ndjébbana Bible Portions	djj
Australia	Djinang	Djinang	Djinang Bible	Djinang Bible Portions	dji
Australia	Barkly English	English	Barkly Bible Portions	Barkly Bible Portions	engbarkly
Australia	English	English	Nyangumarta English Bible	Nyangumarta English Bible	engnna
Australia	Aboriginal English	English	Plain English Version	Plain English Version	engPEV
Australia	Gamilaraay	Gamilaraay	GURRE KAMILAROI	KAMILAROI SAYINGS	kld
Australia	Garrwa	Garrwa	Shorter New Testament	Garrwa Shorter New Testament	wrk
Australia	Gumatj	Gumatj	Gumatj Bible	Gumatj Bible	gnn
Australia	Kunwinjku	Gunwinggu	God Nuye Kunwok	Kunwinjku Bible	gup
Australia	Mayali	Gunwinggu	Mayali Selections	Mayali Selections	gupmay
Australia	Gupapuyŋu	Gupapuyngu	Selections	Gupapuyngu Bible Portions	guf
Australia	Gurrgoni	Guragone	Gurrgoni Selections	Gurrgoni Selections	gge
Australia	Gurindji	Gurinji	Ruth + selections	Gurindji Scripture Portions	gue
Australia	Gugu Yimidhirr	Guugu Yimidhirr	Matthew sample	Gugu Yimidhirr Matthew Sample	kky
Australia	Iwaidja	Iwaidja	Iwaidja Selections	Iwaidja Selections	ibd
Australia	Kala Lagaw	Kala Lagaw Ya	Minar Poelayzimayl	Kala Lagaw Bible	mwp
Australia	Kitja	Kitja	Jawunany	Kitja Jonah	gia
Australia	Kriol	Kriol	Holi Baibul	Kriol Bible	rop
Australia	Kukatja	Kukatja	Kukatja Scriptures	Kukatja Bible portions	kux
Australia	Kuku Yalanji	Kuku-Yalanji	Godumu Kuku	Kuku-Yalanji Bible	gvn
Australia	Kunbarlang	Kunbarlang	Kunbarlang Christmas Story and Part of Acts 1	Kunbarlang Bible Portions	wlg
Australia	Guguminjen	Kunjen	Kunjen Mark Portions	Kunjen Mark Portions	kjn
Australia	Kuninjku	Kunwinjku	Kuninjku Selections	Kuninjku Selections	gupk
Australia	Larrakia	Larrakia	Larrakia Christmas Story	Larrakia Christmas Story	lrg
Australia	Martu Wangka	Martu Wangka	Mamamili Wangka	Martu Wangka Bible	mpj
Australia	Mawng	Mawng	Mawng Mark and other Scripture portions	Mawng Bible Portions	mph
Australia	Meriam Mir	Meriam	Meriam Mir Bible	Meriam Mir Bible	ulk
Australia	Meriam Mir	Meriam	Meriam Mir Bible	Meriam Mir Bible	ulk1902
Australia	Murrinhpatha	Murrinh-Patha	Murrinhpatha Bible	Murrinhpatha Bible	mwf2018
Australia	Nakara	Nakara	Nakara Selections	Nakara Selections	nck
Australia	Ngarrindjeri	Narrinyeri	Tungarar Jehobald YARILDEWALLIN	Ngarrindjeri Scriptures	nay
Australia	Ngaanyatjarra	Ngaanyatjarra	Mama Kuurrku Wangka	Ngaanyatjarra Shorter Bible	ntj
Australia	Noongar	Noongar	Noongar Bible	Noongar Bible	nys
Australia	Wubuy	Nunggubuyu	Ana-Maṉngulg Ana-Wubiba -- Anu-gadhuwa Ana-lhaawu	Wubuy Shorter  Bible	nuy
Australia	Nyangumarta	Nyangumarta	Nyangumarta Bible	Nyangumarta Bible	nna
Australia	Luritja	Pintupi-Luritja	Luritja Bible	Luritja Bible	piu2006
